Victory Margin,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name,REC,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST
0-7,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Baron Browning,,,,,,,,
8-14,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Baron Browning,,,,,,,,
0-7,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0,1,1.0,Jonas Griffith,,,,,,,,
0-7,11.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0,1,2.0,K'Waun Williams,,,,,,,,
8-14,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,K'Waun Williams,,,,,,,,
0-7,11.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0,1,2.0,K'Waun Williams,,,,,,,,
8-14,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,K'Waun Williams,,,,,,,,
0-7,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,P.J. Locke,,,,,,,,
8-14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,P.J. Locke,,,,,,,,
0-7,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,P.J. Locke,,,,,,,,
8-14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,P.J. Locke,,,,,,,,
0-7,,,,,,,,,,,64,21.3,0,31,,Tim Patrick,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-14,,,,,,,,,,,161,14.6,3,44,,Tim Patrick,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15+,,,,,,,,,,,145,16.1,0,31,,Tim Patrick,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-7,,,,,,,,,,,0,0.0,0,0,,Tyler Badie,1.0,1.0,24.0,24.0,1.0,24.0,0.0,0.0
