Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs ARI,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs BAL,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs CAR,5,3,2,0,1,1,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs HOU,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs KC,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs LAC,2,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs LAR,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs NYJ,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs OAK,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
vs SF,4,3,1,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
vs TEN,3,2,1,0,0,0,1,0,0,0,0,0.0,0,0,1,P.J. Locke
